Ticker,PE,PB,Dividend_Yield,Annual_Return
AAPL,29.15,44.21,0.52,17.34
MSFT,36.22,16.34,0.78,21.56
AMZN,42.31,7.92,0.0,14.22
GOOGL,24.56,4.89,0.0,11.89
META,27.89,6.45,0.0,26.78
TSLA,60.34,11.34,0.0,38.56
BRK-B,19.22,1.45,3.05,8.97
JPM,13.45,1.23,2.34,10.45
JNJ,24.81,4.56,2.97,8.34
V,32.1,15.12,1.45,15.67
PG,22.67,6.89,2.43,9.89
UNH,21.34,5.12,1.28,13.21
NVDA,58.56,18.34,0.0,47.89
HD,25.11,7.56,1.98,12.34
DIS,20.45,3.98,1.32,7.89
PYPL,33.78,4.34,0.0,9.67
BAC,10.12,0.97,2.11,7.56
NFLX,39.56,8.78,0.0,20.34
ADBE,26.78,13.21,0.89,18.12
CRM,31.45,5.67,0.0,16.78
